name,brand,model,price,old_price,currency,discount,rating,reviews,url,source_site,scraped_at
"Samsung Galaxy Enterprise Edition 13,5 cm (5.3"") Android 11 4G 4 Go 64 Go 3000 mAh Noir",samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T20:05:20.797796
SAMSUNG - Smartphone Galaxy A14 5G Black 6.6IN 4GB 64GB Android 13,samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T20:05:20.977102
"Samsung Galaxy A16 Smartphone 4GB/128GB 6.7? - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A16,,,EUR,,,,,amazon_fr,2026-04-21T20:05:21.237726
Samsung GALAXY A26 5G A266B 128GB schwrz,samsung,A26,,,EUR,,,,,amazon_fr,2026-04-21T20:05:21.378935
Samsung Galaxy A17 4G 128GB/4GB Double SIM Noir,samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T20:05:21.519162
Samsung Galaxy Xcover Pro 7 Enterprise 128Go Noir,samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T20:05:21.658302
"Samsung Galaxy Xcover 6 Pro 5G, Dual, 128GB 6GB Ram, Black",samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T20:05:21.793421
Samsung Galaxy S25 FE S731 5G Dual Sim 8GB RAM 256GB - Jetblack [Energieklasse B] (SM-S731BZKGEUE),samsung,S25,,,EUR,,,,,amazon_fr,2026-04-21T20:05:22.019497
"Samsung Galaxy A35 5G, Dual, 128GB 6GB Ram, Awesome Navy",samsung,A35,,,EUR,,,,,amazon_fr,2026-04-21T20:05:22.149882
"Samsung Galaxy A26 5G, Smartphone Android, 256 Go, Smartphone déverrouillé, Blanc",samsung,A26,,,EUR,,,,,amazon_fr,2026-04-21T20:05:22.354114
"Samsung A266 Galaxy A26 (6.7'' - 6/128GB) Black - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A26,,,EUR,,,,,amazon_fr,2026-04-21T20:05:22.693726
"Samsung Galaxy SM-G525F/DS 13,5 cm (5.3"") Double SIM Android 11 4G USB Type-C 4 Go 64 Go 3000 mAh Noir",samsung,Unknown,,,EUR,,,,,amazon_fr,2026-04-21T20:05:22.876598
Samsung Galaxy A17 4G 256GB/8GB Dual SIM Noir,samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T20:05:23.501771
Samsung A366 Galaxy A36 Enterprise Edition (6.7'' - 6/128GB) Black,samsung,A36,,,EUR,,,,,amazon_fr,2026-04-21T20:05:24.185628
Samsung S24 Fe 5g 8gb/128gb 6.7´´ One Size,samsung,S24,546.5,,EUR,,,,,amazon_fr,2026-04-21T20:05:24.702095
"Smartphone Samsung SM-A175F 6,7"" 4 GB RAM 128 GB Grigio",samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T20:05:24.916157
"Samsung Galaxy A17 5G, Dual, 128GB 4GB Ram, Black",samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T20:05:25.112699
"Samsung Galaxy A17 5G A176 Dual Sim 4GB RAM 128GB - Black (SM-A176BZKAEUE) - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T20:05:25.325682
Samsung A366B Galaxy A36 5G 128 GB Awesome White,samsung,A36,,,EUR,,,,,amazon_fr,2026-04-21T20:05:25.447894
"Samsung Galaxy A16 A165 Dual Sim 4GB RAM 128GB - Grey - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A16,,,EUR,,,,,amazon_fr,2026-04-21T20:05:25.611396
"Samsung A16 (A165)/DS/128GB Green EU, W129015872 - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A16,,,EUR,,,,,amazon_fr,2026-04-21T20:05:25.737075
"Samsung Galaxy A17 5G A176 Dual Sim 4GB RAM 128GB - Grey - 128 GB [Energieklasse B] (SM-A176BZAAEUE) - [Versions italienne, hongroise, polonaise, roumaine, autrichienne et suisse]",samsung,A17,,,EUR,,,,,amazon_fr,2026-04-21T20:05:25.901960
