name,brand,model,price,old_price,currency,discount,rating,reviews,url,source_site,scraped_at
SAMSUNG GALAXY S26ULTRA 12+256GB COBALT VIOLET SAMSUNG + MONTRE GALAXY WATCH8 CLASSIC 47MM WHITE SAMSUNG,samsung,S26,17730.0,18389.0,DH,4%,,,https://www.electroplanet.ma/pcac31241203-pack-galaxy-s26ultra-12-256gb-cobalt-violet-samsung-montre-galaxy-watch8-classic-47mm-white-samsung.html,electroplanet,2026-04-21T19:39:58.601850
SAMSUNG GALAXY S26ULTRA 12+512GB COBALT VIOLET SAMSUNG + MONTRE GALAXY WATCH8 CLASSIC 47MM WHITE SAMSUNG,samsung,S26,19230.0,19889.0,DH,3%,,,https://www.electroplanet.ma/pcac31241243-pack-galaxy-s26ultra-12-512gb-cobalt-violet-samsung-montre-galaxy-watch8-classic-47mm-white-samsung.html,electroplanet,2026-04-21T19:40:02.275840
SAMSUNG GALAXY S26ULTRA 12+256GB BLACK SAMSUNG + MONTRE GALAXY WATCH8 CLASSIC 47MM WHITE SAMSUNG,samsung,S26,17730.0,18389.0,DH,4%,,,https://www.electroplanet.ma/pcac31241193-pack-galaxy-s26ultra-12-256gb-black-samsung-montre-galaxy-watch8-classic-47mm-white-samsung.html,electroplanet,2026-04-21T19:40:05.196891
SAMSUNG GALAXY S26PLUS 12+512GB COBALT VIOLET SAMSUNG + MONTRE GALAXY WATCH8 CLASSIC 47MM WHITE SAMSUNG,samsung,S26,17230.0,17889.0,DH,4%,,,https://www.electroplanet.ma/pcac31241163-pack-galaxy-s26plus-12-512gb-cobalt-violet-samsung-montre-galaxy-watch8-classic-47mm-white-samsung.html,electroplanet,2026-04-21T19:40:08.452173
SAMSUNG GALAXY S26 12+256GB COBALT VIOLET SAMSUNG + MONTRE GALAXY WATCH8 CLASSIC 47MM WHITE SAMSUNG,samsung,S26,13730.0,14389.0,DH,5%,,,https://www.electroplanet.ma/pcac31241043-pack-galaxy-s26-12-256gb-cobalt-violet-samsung-montre-galaxy-watch8-classic-47mm-white-samsung.html,electroplanet,2026-04-21T19:40:13.487123
SAMSUNG GALAXY S26 12+512GB BLACK SAMSUNG + MONTRE GALAXY WATCH8 CLASSIC 47MM WHITE SAMSUNG,samsung,S26,15230.0,15889.0,DH,4%,,,https://www.electroplanet.ma/pcac31241073-pack-galaxy-s26-12-512gb-black-samsung-montre-galaxy-watch8-classic-47mm-white-samsung.html,electroplanet,2026-04-21T19:40:15.798416
SAMSUNG GALAXY S26ULTRA 12+256GB COBALT VIOLET SAMSUNG + MONTRE GALAXY WATCH8 40MM SILVER SAMSUNG,samsung,S26,16540.0,16989.0,DH,3%,,,https://www.electroplanet.ma/pcac31241201-pack-galaxy-s26ultra-12-256gb-cobalt-violet-samsung-montre-galaxy-watch8-40mm-silver-samsung.html,electroplanet,2026-04-21T19:40:18.077837
SAMSUNG GALAXY S26ULTRA 12+512GB COBALT VIOLET SAMSUNG + MONTRE GALAXY WATCH8 40MM SILVER SAMSUNG,samsung,S26,18040.0,18489.0,DH,2%,,,https://www.electroplanet.ma/pcac31241241-pack-galaxy-s26ultra-12-512gb-cobalt-violet-samsung-montre-galaxy-watch8-40mm-silver-samsung.html,electroplanet,2026-04-21T19:40:20.281662
SAMSUNG GALAXY S26ULTRA 12+256GB BLACK SAMSUNG + MONTRE GALAXY WATCH8 40MM SILVER SAMSUNG,samsung,S26,16540.0,16989.0,DH,3%,,,https://www.electroplanet.ma/pcac31241191-pack-galaxy-s26ultra-12-256gb-black-samsung-montre-galaxy-watch8-40mm-silver-samsung.html,electroplanet,2026-04-21T19:40:22.532253
SAMSUNG GALAXY S26 12+512GB COBALT VIOLET SAMSUNG + MONTRE GALAXY WATCH8 40MM SILVER SAMSUNG,samsung,S26,14040.0,14489.0,DH,3%,,,https://www.electroplanet.ma/pcac31241081-pack-galaxy-s26-12-512gb-cobalt-violet-samsung-montre-galaxy-watch8-40mm-silver-samsung.html,electroplanet,2026-04-21T19:40:24.792365
